Gene names,Alpha A30P_day_1_1, Alpha A30P_day_1_2, Alpha A30P_day_10_1, Alpha A30P_day_10_2, Alpha A53T_day_1_1, Alpha A53T_day_1_2, Alpha A53T_day_10_1, Alpha A53T_day_10_2, Alpha A53T_day_30_1, Alpha A53T_day_30_2
Ucp4A,#VALUE!,#VALUE!,-0.785477265,-0.259063807,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.521825456,-0.360749311
Rpd3,-1.613343538,-0.230448278,-0.45091246,#VALUE!,-1.21036255,-0.802738478,-0.484247185,-0.140078145,#VALUE!,-0.353523948
UbcD4,-1.401368007,-1.697312462,-0.664310953,-0.908794405,-0.743472373,-1.168479424,-0.985958992,-0.727642312,#VALUE!,-0.347674132
CSN5,-1.582814485,-1.355497628,-0.98014155,-0.966940031,-1.590788309,-1.509922832,-1.052685444,-0.658355759,#VALUE!,-0.32573823
,0.670568446,0.847756437,-0.507480212,-0.58610268,0.55885537,#VALUE!,-0.772554639,-0.734947234,#VALUE!,-0.321855962
Rab8,-0.080835378,-0.024003042,0.01720929,-0.041981427,-0.18211483,0.061707085,-0.035460894,0.022048165,#VALUE!,-0.270138386
Gs1l,1.271963449,1.098015234,0.208267529,-0.032550998,#VALUE!,0.89437155,-0.090895125,0.19105724,#VALUE!,-0.258787598
RpL23,-2.130934044,-1.960608893,-0.475274321,-0.545781985,-1.714727999,-1.701388602,-0.350025923,-0.827256483,#VALUE!,-0.252071288
Irc,#VALUE!,#VALUE!,#VALUE!,-0.680844542,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.55592667,-0.194806617
,0.691802133,0.692695,0.323197108,0.729182941,0.609754962,0.563353406,0.49559284,0.78776677,#VALUE!,-0.180707865
Sac1,-1.750251285,-1.734035093,-0.819750275,-1.447485208,-1.088162718,#VALUE!,-1.346077835,-1.286093074,#VALUE!,-0.172701252
Paf-AHalpha,-0.861919514,-0.555650976,-0.20046503,#VALUE!,-0.72272934,-1.21742369,-0.039814527,-0.126596247,#VALUE!,-0.170897345
,0.938022262,-0.897489673,-0.353081624,-0.356513187,-0.246463921,-1.43000347,-0.179792439,-0.498117605,#VALUE!,-0.169468821
GstD2,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.158525975
Ppt1,-0.440968356,-0.994010837,0.095181789,#VALUE!,-0.24821067,-0.48227078,0.204265945,#VALUE!,-0.245728179,-0.156916614
Sgt1,-0.707406697,-0.935862135,-0.434344338,#VALUE!,-0.293235187,#VALUE!,#VALUE!,#VALUE!,-0.459813983,-0.076904078
Arpc3A,-0.598260325,#VALUE!,-0.119479028,#VALUE!,-0.702139492,-0.69119647,-0.269181824,-0.067953951,#VALUE!,-0.066941083
Cpr60D,#VALUE!,2.59493067,0.688314661,1.302757716,#VALUE!,#VALUE!,#VALUE!,0.623585972,-0.147905253,-0.066623763
parvin,-0.533263263,-0.668547005,0.05963216,-0.205164124,-0.040304021,0.225768496,#VALUE!,-0.197302187,-0.063786099,-0.03179863
larp,0.014926544,-0.091356153,-0.474512391,#VALUE!,-1.159782524,-0.617078258,-0.675120287,0.761455493,-0.189203207,-0.028410464
Irp-1A,-1.392440057,-1.191820916,#VALUE!,-1.776503309,-2.004624027,-0.681654233,#VALUE!,#VALUE!,#VALUE!,-0.011297138
,-0.115534926,#VALUE!,0.06942721,0.140255134,#VALUE!,#VALUE!,0.015782997,#VALUE!,-0.362436121,0.013355059
Hmu,-1.054512152,-0.802059143,0.177726483,-0.560898188,-0.473550527,-0.913977178,0.066123642,#VALUE!,#VALUE!,0.01948843
CG4603,-0.998413908,-0.812232253,-0.757110965,-0.148624734,-0.762411809,-0.834518925,-0.695091834,0.011781859,#VALUE!,0.021337583
,-0.034544456,0.284158746,0.121678557,0.862669589,-0.147585599,#VALUE!,-0.168382143,0.19761381,#VALUE!,0.054084393
scramb2,-0.463648642,#VALUE!,#VALUE!,-0.17807758,-0.473250076,-0.933738558,-0.141048249,-0.228266514,#VALUE!,0.089498151
Mgstl,0.346531462,0.260748328,0.366252264,0.10017032,#VALUE!,#VALUE!,#VALUE!,-0.313548777,#VALUE!,0.109427427
CG2061,-1.847725705,-0.460071957,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.112499976
,-0.202571918,-0.109249819,-0.289456925,-0.249359197,-0.594051194,0.797428082,-0.471408679,0.089498151,-0.390415222,0.142217362
mRpS7,-1.181084012,-1.86638387,-1.030678182,-0.502648224,-0.715793864,-2.493215283,#VALUE!,0.051859299,#VALUE!,0.154323965
inaF-B,0.096261853,0.189792938,0.628540319,0.047259175,#VALUE!,0.507921465,-0.161685539,#VALUE!,#VALUE!,0.170566057
CG3246-RA,-0.310843998,-0.397410097,-0.167587926,-0.4372325,-0.247765219,#VALUE!,0.046700587,#VALUE!,#VALUE!,0.201884743
,0.849518948,0.948750342,0.40403114,0.121811151,0.44456106,0.557385581,#VALUE!,#VALUE!,#VALUE!,0.207767938
CG30491;CG30495,-0.594268982,-0.307965668,-0.445460262,-1.311721152,-0.79263186,0.71114245,-1.161233749,#VALUE!,#VALUE!,0.211012193
,-1.172473608,-0.950592275,0.38758312,-0.047606789,-0.839828452,#VALUE!,-0.171059767,-0.30281334,#VALUE!,0.244521774
nrv2,#VALUE!,#VALUE!,#VALUE!,0.257372756,#VALUE!,#VALUE!,#VALUE!,0.202135581,-0.08882232,0.253989266
,#VALUE!,-0.392837789,-0.470908705,-0.017679916,0.451751815,#VALUE!,-0.349474378,-0.166729367,#VALUE!,0.272620455
Nckx30C,-0.102790559,0.394404385,0.340960985,0.264836648,0.534161233,#VALUE!,0.290542363,0.38084025,#VALUE!,0.290896181
,1.347608968,0.9644356,1.296075575,0.55885537,#VALUE!,#VALUE!,#VALUE!,1.229772477,#VALUE!,0.297015288
,-0.439617637,-0.409029181,#VALUE!,0.078063256,-0.689264356,#VALUE!,-0.014747326,0.207767938,#VALUE!,0.33468268
HP1b,0.001586092,0.177343788,0.552278691,0.468531186,0.390557636,-0.11130545,1.015069322,0.62564456,0.348119084,0.337882322
Vps20,0.762816526,0.883855382,0.532366836,0.398240905,0.558071669,#VALUE!,0.707259728,0.649937299,#VALUE!,0.337996464
,#VALUE!,0.107286135,0.223175386,0.396159489,-0.109343193,#VALUE!,-0.002180116,0.114766793,#VALUE!,0.342213373
qsm,0.452595435,0.687150294,0.446362112,0.955163988,#VALUE!,0.535455799,#VALUE!,1.531319072,#VALUE!,0.366364183
Dg,-0.7615066,-0.868147154,0.106750315,1.017351842,0.778460921,-1.505983842,1.053180862,#VALUE!,#VALUE!,0.371614618
